City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
247,Santa Cruz Del Sur,20.7147,-77.9956,81.25,60,0,3.24,CU,light rain
248,Sumbe,-11.2061,13.8437,80.64,54,98,10.92,AO,overcast clouds
249,Cherskiy,68.75,161.3,-38.81,100,100,6.06,RU,overcast clouds
250,Petropavlovsk-Kamchatskiy,53.0452,158.6483,14.59,73,75,6.71,RU,broken clouds
251,Bac Lieu,9.285,105.7244,78.89,82,100,12.93,VN,overcast clouds
252,Araouane,18.9048,-3.5265,82.76,8,24,15.01,ML,few clouds
253,Kalmunai,7.4167,81.8167,78.21,82,15,5.73,LK,few clouds
254,Sur,22.5667,59.5289,71.02,51,0,4.09,OM,clear sky
255,Arys,42.4252,68.795,39.42,51,97,8.5,KZ,overcast clouds
256,Raudeberg,61.9875,5.1352,36.27,86,100,1.99,NO,overcast clouds
257,Kloulklubed,7.0419,134.2556,77.5,79,99,12.73,PW,overcast clouds
258,Vardo,70.3705,31.1107,28.6,80,75,12.66,NO,broken clouds
259,Jaguarao,-32.5661,-53.3758,84.33,36,0,11.05,BR,clear sky
260,Menongue,-14.6585,17.691,73.18,69,100,0.56,AO,overcast clouds
261,Sola,-13.8833,167.55,79.47,83,100,0.0,VU,overcast clouds
262,Fortuna,40.5982,-124.1573,61.14,76,0,12.66,US,clear sky
263,Narsaq,60.9167,-46.05,7.02,65,34,5.84,GL,scattered clouds
264,Yeppoon,-23.1333,150.7333,71.38,66,0,12.39,AU,clear sky
265,Buraydah,26.326,43.975,79.25,31,31,10.04,SA,scattered clouds
266,San Onofre,9.7359,-75.5263,88.54,57,46,4.16,CO,scattered clouds
267,Pisco,-13.7,-76.2167,76.01,78,0,8.05,PE,clear sky
268,Zlobin,45.2924,14.6541,43.9,67,75,3.44,HR,broken clouds
269,Namibe,-15.1961,12.1522,81.23,69,75,11.5,AO,broken clouds
270,Torbay,47.6666,-52.7314,41.88,75,75,9.22,CA,broken clouds
271,Hami,42.8,93.45,27.39,46,97,7.54,CN,overcast clouds
272,Ereymentau,51.6199,73.1033,-12.1,99,29,5.95,KZ,scattered clouds
273,Maku,39.2911,44.4521,33.6,98,97,0.94,IR,overcast clouds
274,Parakan,-6.4191,106.0081,74.23,88,100,1.68,ID,overcast clouds
275,Ahipara,-35.1667,173.1667,72.54,96,90,9.62,NZ,overcast clouds
276,Valdivia,-39.8142,-73.2459,64.49,30,2,6.64,CL,clear sky
277,Gwanda,-20.9333,29.0,84.02,39,74,5.39,ZW,broken clouds
278,Balabac,7.9868,117.0645,80.33,81,61,13.42,PH,broken clouds
279,Merke,42.8728,73.1786,27.68,68,82,7.54,KZ,broken clouds
280,Bitung,1.4451,125.1824,77.85,86,65,6.15,ID,broken clouds
281,San Luis,-33.295,-66.3356,90.5,18,31,6.64,AR,scattered clouds
282,Conceicao Do Araguaia,-8.2578,-49.2647,83.12,74,94,3.62,BR,light rain
283,Zhigansk,66.7697,123.3711,-29.54,97,91,10.51,RU,overcast clouds
284,Hualmay,-11.0964,-77.6139,73.62,72,100,7.52,PE,overcast clouds
285,Tocopilla,-22.092,-70.1979,71.33,63,1,6.06,CL,clear sky
286,Iracoubo,5.4802,-53.2011,81.59,71,33,8.79,GF,scattered clouds
287,Broken Hill,-31.95,141.4333,67.71,34,0,11.5,AU,clear sky
288,Coro,11.4045,-69.6734,84.38,58,89,14.54,VE,overcast clouds
289,Acapulco,16.8634,-99.8901,76.82,73,20,4.61,MX,few clouds
290,Nortelandia,-14.4547,-56.8028,84.36,69,52,3.56,BR,broken clouds
291,Kurilsk,45.2333,147.8833,22.8,70,97,6.98,RU,overcast clouds
292,Sitka,57.0531,-135.33,37.29,75,100,9.22,US,mist
293,Nabire,-3.3667,135.4833,76.42,91,100,1.83,ID,light rain
294,San Cristobal,7.7669,-72.225,71.78,41,55,4.56,VE,broken clouds
295,Pemba,-12.974,40.5178,81.3,78,75,4.61,MZ,broken clouds
296,Tukrah,32.5341,20.5791,55.83,66,2,11.68,LY,clear sky
297,Tautira,-17.7333,-149.15,77.02,77,61,12.77,PF,light rain
298,Burma,22.0,98.0,54.39,42,11,1.97,MM,few clouds
299,Kohat,33.582,71.4493,55.47,34,0,3.4,PK,clear sky
300,Sarkand,45.41,79.9186,20.62,90,100,2.77,KZ,overcast clouds
301,Henties Bay,-22.116,14.2845,72.86,78,19,9.8,NA,few clouds
302,Bama,11.5221,13.6856,86.99,6,3,12.84,NG,clear sky
303,Palu,-0.8917,119.8707,75.92,97,100,1.74,ID,overcast clouds
304,West Melbourne,28.0717,-80.6534,67.91,67,0,12.66,US,clear sky
305,Havre-Saint-Pierre,50.2334,-63.5986,30.79,93,100,8.05,CA,overcast clouds
306,Viet Tri,21.3019,105.4308,57.15,83,100,1.16,VN,overcast clouds
307,Bilibino,68.0546,166.4372,-42.23,100,70,1.39,RU,broken clouds
308,Tabas,33.5959,56.9244,58.41,24,2,1.45,IR,clear sky
309,Provideniya,64.3833,-173.3,-19.43,91,43,3.53,RU,scattered clouds
310,Benin,9.5,2.25,98.64,7,0,7.25,BJ,clear sky
311,Gamba,-2.65,10.0,81.5,75,19,11.03,GA,light rain
312,Quevedo,-1.0333,-79.45,72.43,93,100,2.33,EC,overcast clouds
313,Abu Samrah,35.3029,37.1841,45.37,82,100,10.29,SY,overcast clouds
314,Nur,52.6683,22.3221,46.78,91,100,9.35,PL,overcast clouds
315,Nosy Varika,-20.5833,48.5333,77.45,86,77,5.77,MG,broken clouds
316,Birakan,49.0167,131.7,-3.05,100,100,1.68,RU,overcast clouds
317,Vostok,46.4856,135.8833,2.1,99,83,3.8,RU,broken clouds
318,Lesnoy,57.6198,63.0784,7.92,95,100,10.18,RU,overcast clouds
319,Jurado,7.1053,-77.7641,82.69,76,69,2.13,CO,light rain
320,Mapiripan,2.8892,-72.1256,86.52,55,98,4.36,CO,overcast clouds
321,Barinas,8.6226,-70.2075,84.24,58,93,8.05,VE,overcast clouds
322,Pevek,69.7008,170.3133,-31.7,99,100,6.4,RU,overcast clouds
323,Port-Gentil,-0.7193,8.7815,84.16,84,75,10.36,GA,broken clouds
324,San Quintin,30.4833,-115.95,65.03,30,0,4.99,MX,clear sky
325,Manavalakurichi,8.1333,77.3,84.29,72,90,5.21,IN,light rain
326,Sokolka,53.4072,23.5023,42.66,89,100,6.31,PL,overcast clouds
327,Santa Vitoria Do Palmar,-33.5189,-53.3681,79.5,46,2,10.04,BR,clear sky
328,Los Llanos De Aridane,28.6585,-17.9182,71.35,43,0,23.02,ES,clear sky
329,Sinnamary,5.3833,-52.95,81.45,72,29,8.88,GF,scattered clouds
330,Caucaia,-3.7361,-38.6531,85.95,69,75,12.66,BR,broken clouds
331,Elko,41.0002,-115.5012,30.63,92,1,1.32,US,clear sky
332,Newton,42.337,-71.2092,49.39,84,85,8.01,US,overcast clouds
333,The Valley,18.217,-63.0578,81.1,83,75,21.85,AI,broken clouds
334,Diamantino,-14.4086,-56.4461,81.7,76,72,3.09,BR,broken clouds
335,Sao Francisco,-15.9486,-44.8644,83.19,67,99,3.13,BR,overcast clouds
336,Aykhal,66.0,111.5,-8.59,79,100,3.65,RU,overcast clouds
337,Bouafle,6.9904,-5.7442,98.62,8,4,5.82,CI,clear sky
338,Ngunguru,-35.6167,174.5,74.16,96,99,9.69,NZ,overcast clouds
339,Imbituba,-28.24,-48.6703,80.49,64,7,13.47,BR,clear sky
340,Ilulissat,69.2167,-51.1,-18.85,93,49,6.26,GL,scattered clouds
341,Taltal,-25.4,-70.4833,69.31,69,3,6.87,CL,clear sky
342,Copiapo,-27.3667,-70.3333,65.89,47,18,7.56,CL,few clouds
343,Bure,10.7,37.0667,67.33,46,95,6.8,ET,overcast clouds
344,Konevo,62.1215,39.3192,27.16,96,100,7.83,RU,light snow
